stock_name,timestamp,epoch,avg_mse_loss,fit_time
AAPL,2026-04-22 20:52:28,0,0.06798383051200825,0.14902615547180176
AAPL,2026-04-22 20:52:28,1,0.13207096359966433,0.2962830066680908
AAPL,2026-04-22 20:52:28,2,0.04133844183867469,0.4428400993347168
AAPL,2026-04-22 20:52:28,3,0.0535258518614094,0.5885140895843506
AAPL,2026-04-22 20:52:28,4,0.016470432473237023,0.7350521087646484
AAPL,2026-04-22 20:52:28,5,0.010544768589384416,0.8802649974822998
AAPL,2026-04-22 20:52:28,6,0.008501108297530343,1.024744987487793
AAPL,2026-04-22 20:52:28,7,0.004511464729576427,1.1713769435882568
AAPL,2026-04-22 20:52:28,8,0.004444437820519156,1.3173158168792725
AAPL,2026-04-22 20:52:28,9,0.005573498852112714,1.4635200500488281
AAPL,2026-04-22 20:52:28,10,0.004383492639617008,1.6106958389282227
AAPL,2026-04-22 20:52:28,11,0.0046274056658148766,1.7570340633392334
AAPL,2026-04-22 20:52:28,12,0.005436191198361271,1.9024159908294678
AAPL,2026-04-22 20:52:28,13,0.006204645426752155,2.049298048019409
AAPL,2026-04-22 20:52:28,14,0.005144621190779349,2.195991039276123
AAPL,2026-04-22 20:52:28,15,0.004956924561958979,2.3404459953308105
AAPL,2026-04-22 20:52:28,16,0.0045612902133999505,2.4861948490142822
AAPL,2026-04-22 20:52:28,17,0.004304865388857091,2.632418155670166
AAPL,2026-04-22 20:52:28,18,0.004335232195444405,2.780052900314331
AAPL,2026-04-22 20:52:28,19,0.004522619943600148,2.926593065261841
AAPL,2026-04-22 20:52:28,20,0.004766094601055717,3.0736870765686035
AAPL,2026-04-22 20:52:28,21,0.00444297752726604,3.220561981201172
AAPL,2026-04-22 20:52:28,22,0.004952661706792081,3.365921974182129
AAPL,2026-04-22 20:52:28,23,0.004933133180362775,3.512094020843506
AAPL,2026-04-22 20:52:28,24,0.005011218709542471,3.658910036087036
AAPL,2026-04-22 20:52:28,25,0.004941051791641204,3.804605007171631
AAPL,2026-04-22 20:52:28,26,0.005271141006446937,3.9504997730255127
AAPL,2026-04-22 20:52:28,27,0.005317013265619821,4.097135782241821
AAPL,2026-04-22 20:52:28,28,0.005273559503942071,4.244956016540527
AAPL,2026-04-22 20:52:28,29,0.004452405350200613,4.391522169113159
AAPL,2026-04-22 20:52:28,30,0.003941859310383306,4.5379557609558105
AAPL,2026-04-22 20:52:28,31,0.00311742106671719,4.685208797454834
AAPL,2026-04-22 20:52:28,32,0.0029949782046434633,4.830318927764893
AAPL,2026-04-22 20:52:28,33,0.0028925661120892446,4.97913384437561
AAPL,2026-04-22 20:52:28,34,0.0036246853517642352,5.127407789230347
AAPL,2026-04-22 20:52:28,35,0.003192270130110795,5.27487587928772
AAPL,2026-04-22 20:52:28,36,0.0034581658272894427,5.422001838684082
AAPL,2026-04-22 20:52:28,37,0.0033772615407703117,5.568670988082886
AAPL,2026-04-22 20:52:28,38,0.0030326388591407414,5.7150328159332275
AAPL,2026-04-22 20:52:28,39,0.0030446944806231733,5.8628129959106445
AAPL,2026-04-22 20:52:28,40,0.0034474588499185353,6.007626056671143
AAPL,2026-04-22 20:52:28,41,0.003203500247122172,6.153517723083496
AAPL,2026-04-22 20:52:28,42,0.004245798195958795,6.298134088516235
AAPL,2026-04-22 20:52:28,43,0.004125492952024455,6.443981170654297
AAPL,2026-04-22 20:52:28,44,0.0038509304559899166,6.590406894683838
AAPL,2026-04-22 20:52:28,45,0.0028125991058700226,6.737684965133667
AAPL,2026-04-22 20:52:28,46,0.0024362857973970033,6.884972095489502
AAPL,2026-04-22 20:52:28,47,0.00248381937511594,7.0321149826049805
AAPL,2026-04-22 20:52:28,48,0.0026949726093067404,7.177713871002197
AAPL,2026-04-22 20:52:28,49,0.0028168159495929584,7.32566499710083
AAPL,2026-04-22 20:52:28,50,0.00331120564848842,7.472110748291016
AAPL,2026-04-22 20:52:28,51,0.003962491433519651,7.61846399307251
AAPL,2026-04-22 20:52:28,52,0.0038217883625560824,7.764380931854248
AAPL,2026-04-22 20:52:28,53,0.003924337195177727,7.910588026046753
AAPL,2026-04-22 20:52:28,54,0.004110603312523488,8.057411909103394
AAPL,2026-04-22 20:52:28,55,0.0031693956270293496,8.204568862915039
AAPL,2026-04-22 20:52:28,56,0.0031588884200626876,8.350068092346191
AAPL,2026-04-22 20:52:28,57,0.0028846581185729627,8.495303869247437
AAPL,2026-04-22 20:52:28,58,0.0022057289606891572,8.64142107963562
AAPL,2026-04-22 20:52:28,59,0.002900547334266936,8.786659002304077
AAPL,2026-04-22 20:52:28,60,0.002475388443974011,8.934061050415039
AAPL,2026-04-22 20:52:28,61,0.0024307637359015644,9.08092188835144
AAPL,2026-04-22 20:52:28,62,0.0028180793639929857,9.227277040481567
AAPL,2026-04-22 20:52:28,63,0.0031003943517776754,9.374201774597168
AAPL,2026-04-22 20:52:28,64,0.0029844035127419323,9.52046275138855
AAPL,2026-04-22 20:52:28,65,0.003035714993636836,9.666475057601929
AAPL,2026-04-22 20:52:28,66,0.0026949831277734656,9.81328797340393
AAPL,2026-04-22 20:52:28,67,0.002623967590111801,9.961174011230469
AAPL,2026-04-22 20:52:28,68,0.0025646810604752425,10.107954978942871
AAPL,2026-04-22 20:52:28,69,0.0023353289066375617,10.254463911056519
AAPL,2026-04-22 20:52:28,70,0.002619822951280238,10.400300979614258
AAPL,2026-04-22 20:52:28,71,0.002812661781824906,10.5481538772583
AAPL,2026-04-22 20:52:28,72,0.0028206260381814312,10.695043087005615
AAPL,2026-04-22 20:52:28,73,0.0028782414669609245,10.841266870498657
AAPL,2026-04-22 20:52:28,74,0.0025648334755233545,10.988468885421753
AAPL,2026-04-22 20:52:28,75,0.002551269727786455,11.131815910339355
AAPL,2026-04-22 20:52:28,76,0.0027149875771583,11.278846025466919
AAPL,2026-04-22 20:52:28,77,0.003158128635464784,11.426982879638672
AAPL,2026-04-22 20:52:28,78,0.0032604281544027958,11.573656797409058
AAPL,2026-04-22 20:52:28,79,0.0022785510860986132,11.72080111503601
AAPL,2026-04-22 20:52:28,80,0.0028093698612578653,11.868579149246216
AAPL,2026-04-22 20:52:28,81,0.002554330991937176,12.014671802520752
AAPL,2026-04-22 20:52:28,82,0.0025188951438073724,12.161712884902954
AAPL,2026-04-22 20:52:28,83,0.002500776420621311,12.307679891586304
AAPL,2026-04-22 20:52:28,84,0.0024994396440246526,12.453537940979004
AAPL,2026-04-22 20:52:28,85,0.0026323882595855087,12.5989351272583
AAPL,2026-04-22 20:52:28,86,0.0023070475127657548,12.745657920837402
AAPL,2026-04-22 20:52:28,87,0.0027503752156489473,12.892554998397827
AAPL,2026-04-22 20:52:28,88,0.0024161702158915646,13.03957200050354
AAPL,2026-04-22 20:52:28,89,0.002591462994186098,13.186604976654053
AAPL,2026-04-22 20:52:28,90,0.002410797053016722,13.33406376838684
AAPL,2026-04-22 20:52:28,91,0.002620377192643526,13.480486869812012
AAPL,2026-04-22 20:52:28,92,0.002090167716446826,13.626719951629639
AAPL,2026-04-22 20:52:28,93,0.002484683139140115,13.773831844329834
AAPL,2026-04-22 20:52:28,94,0.0028124799547881328,13.918983936309814
AAPL,2026-04-22 20:52:28,95,0.0030714752912685715,14.06387996673584
AAPL,2026-04-22 20:52:28,96,0.002830155409516438,14.210807085037231
AAPL,2026-04-22 20:52:28,97,0.002754986844272079,14.358808040618896
